store_code,Site ID,Store Latitude,Store Longitude,polygon_edge,Point Latitude,Point Longitude,Store Status
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_87,12.867305120726495,77.52254605293275,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_88,12.867295687238169,77.52246900695845,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_89,12.867555662845955,77.52111048226585,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_90,12.867001609157619,77.5205150505091,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_91,12.866343015445493,77.52035412300725,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_92,12.865908784518828,77.52134442329408,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_93,12.864482239527947,77.52330888431369,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_94,12.862033518597341,77.5195097923279,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_95,12.861447778190282,77.5192952156067,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_96,12.858832848983555,77.52528190612793,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_97,12.858226181514024,77.52742767333986,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_98,12.854481546402818,77.52717018127443,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_99,12.851636423171994,77.52796411514284,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_100,12.84665737996325,77.5339937210083,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,centroid,12.881765184210527,77.65681724210526,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_0,12.8741171,77.6566615,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_1,12.8762449,77.6573748,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_2,12.8770189,77.6578468,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_3,12.8780439,77.6584476,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_4,12.8785459,77.6597566,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_5,12.8789695,77.6603271,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_6,12.8804494,77.6604218,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_7,12.881077,77.6603145,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_8,12.88183,77.6602072,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_9,12.8819137,77.6621598,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_10,12.8826249,77.66231,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_11,12.8831896,77.6626319,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_12,12.8846957,77.6634902,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_13,12.8857625,77.6639194,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_14,12.8866828,77.6637477,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_15,12.8874986,77.6634902,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_16,12.8880281,77.6631101,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_17,12.88816,77.661796,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_18,12.8887392,77.6600202,Live
bengalurukudlu,Ben_231,12.881765184210527,77.65681724210526,edge_19,12.8893249,77.6578315,Live
